id,site,category,cluster,parent_topic,article_title,search_intent,primary_keyword,secondary_keywords,local_angle,medical_risk_level,conversion_goal,internal_link_target,notes
0042,aoshin,生活習慣病,メタボ,生活改善,メタボ健診で要指導と言われたら：実際に効く生活改善,行動,メタボ 要指導,内臓脂肪|腹囲|生活習慣,,low,関連記事誘導,0001|0036,
0043,aoshin,生活習慣病,高血圧,家庭測定,血圧の家庭測定：正しい測り方とタイミング,行動,家庭血圧 測り方,血圧計|朝晩|姿勢,,low,関連記事誘導,0001|0036,
0044,aoshin,生活習慣病,糖尿病,合併症,糖尿病の合併症：失明・透析・足を守るために,情報収集,糖尿病 合併症,網膜症|腎症|神経障害,,medium,WEB予約,0037|0038,
0045,aoshin,生活習慣病,高血圧,減塩,高血圧の塩分制限：実生活で続けられる工夫,行動,高血圧 塩分 減塩,食塩|外食|調味料,,low,関連記事誘導,0001|0043,
0046,aoshin,頭痛・めまい,頭痛,鑑別,片頭痛と緊張型頭痛の見分け方と対処,情報収集,片頭痛 緊張型 違い,頭痛|拍動|肩こり,,low,WEB予約,0049|0050,
0047,aoshin,頭痛・めまい,めまい,鑑別,急なめまいは脳の病気？受診の目安,不安解消,めまい 急 受診,良性発作性|脳卒中|耳,,medium,WEB予約,,
0048,aoshin,頭痛・めまい,しびれ,原因,手のしびれが続く：考えられる原因と受診科,不安解消,手 しびれ 続く,手根管|頚椎|末梢神経,,medium,WEB予約,,
0049,aoshin,頭痛・めまい,慢性頭痛,薬物乱用,慢性頭痛で薬を飲み続けるリスクと相談,行動,頭痛薬 飲み続ける,薬物乱用頭痛|鎮痛薬|頻度,,medium,WEB予約,0046,
0050,aoshin,頭痛・めまい,起床時頭痛,原因,朝起きたときの頭痛：原因として考えられること,情報収集,朝 頭痛 原因,睡眠|高血圧|SAS,,low,関連記事誘導,0046|0056,
0051,aoshin,アレルギー,花粉症,対策,花粉症の症状を抑えるための時期別対策,行動,花粉症 対策 時期,スギ|ヒノキ|初期療法,,low,WEB予約,0052|0053,
0052,aoshin,アレルギー,舌下免疫療法,適応,舌下免疫療法とは？適応とスケジュール,情報収集,舌下免疫療法,スギ|ダニ|長期治療,,medium,WEB予約,0051|0054,
0053,aoshin,アレルギー,花粉症,薬選び,花粉症で眠くならない薬の選び方,情報収集,花粉症 眠くならない,抗ヒスタミン|第二世代|副作用,,low,関連記事誘導,0051,
0054,aoshin,アレルギー,成人発症,花粉症,大人になってから花粉症になることはある？,不安解消,大人 花粉症 発症,成人発症|抗体|地域差,,low,関連記事誘導,0051|0055,
0055,aoshin,アレルギー,通年性,鼻炎,通年性アレルギー性鼻炎の対処：花粉症との違い,情報収集,通年性 アレルギー性鼻炎,ダニ|ハウスダスト|ペット,,low,関連記事誘導,0051|0052,
0056,aoshin,睡眠時無呼吸,SAS,総論,いびきがうるさいと指摘された：SASの可能性,不安解消,いびき SAS,無呼吸|日中眠気|簡易検査,,medium,WEB予約,0057|0058,
0057,aoshin,睡眠時無呼吸,日中眠気,SAS,日中の眠気が取れない：睡眠時無呼吸かも,情報収集,日中 眠気 SAS,起床時頭痛|集中力|事故,,medium,WEB予約,0050|0056|0058,
0058,aoshin,睡眠時無呼吸,CPAP,治療,CPAP治療の流れ：検査から導入まで,情報収集,CPAP 治療,簡易検査|PSG|保険,,low,WEB予約,0056|0057,
0059,aoshin,自由診療,にんにく注射,自費注射,にんにく注射は何に効く？医療として知っておきたいこと,情報収集,にんにく注射,ビタミンB1|疲労|自由診療,,medium,関連記事誘導,0060,自由診療要件
0060,aoshin,自由診療,プラセンタ,更年期,プラセンタ注射の特徴と更年期症状への期待,情報収集,プラセンタ 更年期,自由診療|献血制限|ホルモン,,medium,関連記事誘導,0059,自由診療要件
1201,cielo,シミ・くすみ,シミ鑑別,シミ種類,シミとそばかすの違いは？見分け方と治療選択,情報収集,シミ そばかす 違い,老人性色素斑|遺伝|ピコ,,low,関連記事誘導,1203|1205,
1202,cielo,シミ・くすみ,肝斑,鑑別,肝斑とシミの違い：レーザーが向かないケース,情報収集,肝斑 シミ 違い,内服|トラネキサム酸|レーザー禁忌,,medium,WEB予約,1209,肝斑へのレーザー注意
1203,cielo,シミ・くすみ,シミ種類,治療選択,シミの種類別に治療法は変わる？,情報収集,シミ 種類 治療,老人性|肝斑|ADM,,medium,WEB予約,1201|1205|1206,
1204,cielo,シミ・くすみ,くすみ,治療,顔のくすみの原因と医療でのアプローチ,情報収集,くすみ 顔 原因,メラニン|血行|乾燥,,low,関連記事誘導,1213|1219,
1205,cielo,シミ・くすみ,老人性色素斑,日光黒子,老人性色素斑（日光黒子）に向く治療は,情報収集,老人性色素斑 治療,日光黒子|ピコ|IPL,,medium,WEB予約,1201|1212,
1206,cielo,シミ・くすみ,ADM,真皮メラノサイト,ADM（後天性真皮メラノサイトーシス）とは,情報収集,ADM とは,真皮|ピコ|青あざ,,medium,WEB予約,1203|1212,
1207,cielo,シミ・くすみ,リスク,失敗回避,シミ取りで失敗しないために知っておくこと,不安解消,シミ取り 失敗,炎症後色素沈着|肝斑|診察,,high,WEB予約,1202|1208|1216,リスク十分に
1208,cielo,シミ・くすみ,アフターケア,DT,シミ治療後のダウンタイムとアフターケア,情報収集,シミ治療 ダウンタイム,かさぶた|紫外線|保湿,,medium,関連記事誘導,1207|1217,
1209,cielo,シミ・くすみ,内服,外用,内服治療（トラネキサム酸など）と外用治療の違い,情報収集,トラネキサム酸 内服,肝斑|ハイドロキノン|外用,,medium,関連記事誘導,1202,
1210,cielo,シミ・くすみ,妊娠,治療時期,妊娠中のシミ：時期と治療選択,情報収集,妊娠 シミ 治療,授乳|肝斑|産後,,high,関連記事誘導,1202|1209,妊娠中の制限明示
1211,cielo,レーザー,ピコ,技術,ピコレーザーとQスイッチレーザーの違い,情報収集,ピコレーザー Qスイッチ 違い,ピコ秒|ナノ秒|衝撃波,,low,関連記事誘導,1212|1213|1214,
1212,cielo,レーザー,ピコスポット,適応,ピコスポットの適応と通う回数の目安,情報収集,ピコスポット 回数,老人性色素斑|スポット|かさぶた,,medium,WEB予約,1205|1208|1217,
1213,cielo,レーザー,ピコトーニング,適応,ピコトーニングは何に向く？効果が期待できる悩み,情報収集,ピコトーニング 効果,肝斑|くすみ|肌質,,medium,WEB予約,1204|1215|1216,
1214,cielo,レーザー,ピコトリプル,複合治療,ピコトリプル（フラクショナル含む複合）の特徴,情報収集,ピコトリプル,フラクショナル|肌質|毛穴,,medium,WEB予約,1213|1215,
1215,cielo,レーザー,ピコトーニング,通院回数,ピコトーニングの効果と通う回数の目安は？,行動,ピコトーニング 通院,継続|間隔|個人差,,medium,WEB予約,1213|1216,
1216,cielo,レーザー,ピコ,リスク,ピコレーザーのリスク・副作用と対処,不安解消,ピコレーザー 副作用,炎症後色素沈着|やけど|赤み,,high,WEB予約,1207|1217,リスク十分に
1217,cielo,レーザー,術後ケア,UV,ピコレーザー後の紫外線対策とスキンケア,行動,ピコレーザー アフターケア,日焼け止め|保湿|かさぶた,,low,関連記事誘導,1208|1216,
1218,cielo,レーザー,適応外,禁忌,ピコレーザーが向かない肌・症状,情報収集,ピコレーザー 向かない,肝斑|妊娠|タトゥー,,medium,関連記事誘導,1202|1207|1210,
1219,cielo,光治療,IPL,基礎,IPL（光治療）はピコレーザーと何が違う,情報収集,IPL ピコ 違い,光治療|波長|肌質,,low,関連記事誘導,1211|1220,
1220,cielo,光治療,IPL,適応,IPLで取れるシミ・取れにくいシミ,情報収集,IPL シミ,そばかす|肝斑|ADM,,medium,WEB予約,1201|1219,
1221,cielo,光治療,IPL,通院,光治療の通院ペースと効果実感の目安,情報収集,IPL 回数 効果,複数回|間隔|継続,,low,WEB予約,1219|1220,
1222,cielo,注入,ボトックス,基礎,ボトックス注射の作用と効果が出る期間,情報収集,ボトックス 効果 期間,ボツリヌス|表情ジワ|持続,,medium,WEB予約,1223|1224,
1223,cielo,注入,ボトックス,表情ジワ,表情ジワへのボトックスのメリットと注意点,情報収集,ボトックス 表情ジワ,眉間|目尻|額,,medium,WEB予約,1222|1224,
1224,cielo,注入,ボトックス,リスク,ボトックスの安全性と副作用：知っておきたいこと,不安解消,ボトックス 副作用,内出血|表情|耐性,,high,WEB予約,1222|1223,リスク十分に
1225,cielo,注入,ヒアルロン酸,基礎,ヒアルロン酸注入で何ができる？適応部位,情報収集,ヒアルロン酸 部位,ほうれい線|涙袋|唇,,medium,WEB予約,1226|1227,
1226,cielo,注入,ヒアルロン酸,選び方,ヒアルロン酸の種類と部位ごとの選び方,情報収集,ヒアルロン酸 種類,硬さ|持続|架橋,,medium,WEB予約,1225|1227,
1227,cielo,注入,ヒアルロン酸,リスク,ヒアルロン酸のリスクと注意すべきトラブル,不安解消,ヒアルロン酸 リスク,血管塞栓|しこり|アレルギー,,high,WEB予約,1225|1226,リスク十分に
1228,cielo,たるみ,HIFU,基礎,HIFUとは？ハイフの仕組みと得意な悩み,情報収集,HIFU とは,超音波|SMAS|たるみ,,medium,WEB予約,1229|1230|1232,
1229,cielo,たるみ,HIFU,通院,HIFUの効果実感と通うペース,行動,HIFU ペース,持続|半年|個人差,,medium,WEB予約,1228|1230,
1230,cielo,たるみ,HIFU,リスク,HIFUのリスク・副作用と医師選びの目安,不安解消,HIFU 副作用,神経損傷|やけど|腫れ,,high,WEB予約,1228|1232,リスク十分に
1231,cielo,たるみ,糸リフト,基礎,糸リフトの仕組みと効果の続く期間,情報収集,糸リフト 効果,コグ|溶ける糸|持続,,medium,WEB予約,1232|1233,
1232,cielo,たるみ,比較,HIFUvs糸,糸リフトとHIFUはどう違う？選び方の考え方,比較検討,糸リフト HIFU 違い,たるみ|アプローチ|併用,,medium,WEB予約,1228|1231,
1233,cielo,たるみ,年齢,治療開始,たるみ治療を始める年齢の目安,情報収集,たるみ治療 年齢,予防|30代|40代,,low,関連記事誘導,1228|1231,
1234,cielo,肌質改善,毛穴,開き,毛穴の開きが気になる：医療でできるアプローチ,情報収集,毛穴 開き,皮脂|ピコ|ハイドラ,,low,WEB予約,1235|1236,
1235,cielo,肌質改善,ニキビ跡,種類別,ニキビ跡（赤み・凹み）の種類別治療,情報収集,ニキビ跡 治療,赤み|凹み|色素沈着,,medium,WEB予約,1234|1238,
1236,cielo,肌質改善,ハイドラ,ピーリング,ハイドラジェントルとピーリングの違い,情報収集,ハイドラジェントル ピーリング,毛穴|角質|肌質,,low,関連記事誘導,1234|1237,
1237,cielo,肌質改善,イオン導入,成分,イオン導入で入れる成分と期待できる効果,情報収集,イオン導入 効果,ビタミンC|トラネキサム酸|くすみ,,low,関連記事誘導,1204|1236,
1238,cielo,肌質改善,大人ニキビ,治療,大人ニキビが繰り返す：医療での対応,情報収集,大人ニキビ 治療,皮脂|ホルモン|内服,,medium,WEB予約,1235,
1239,cielo,医療脱毛,基礎,医療vsエステ,医療脱毛とエステ脱毛の違い,情報収集,医療脱毛 エステ 違い,レーザー|光|永久脱毛,,low,WEB予約,1240,
1240,cielo,医療脱毛,基礎,通院,医療脱毛の痛み・通院回数・注意点,情報収集,医療脱毛 痛み,麻酔|間隔|肌トラブル,,medium,WEB予約,1239,
0061,aoshin,ED,内服薬,総論,ED治療薬の種類と特徴｜PDE5阻害薬の違い,情報収集,ED 治療薬 種類,バイアグラ|シアリス|レビトラ,,high,WEB予約,0062|0063|0066,自由診療要件・併用禁忌注意
0062,aoshin,ED,内服薬,選び方,バイアグラとシアリスの違いは？効果時間と特徴,比較検討,バイアグラ シアリス 違い,持続時間|食事影響|半減期,,high,WEB予約,0061|0063,自由診療要件
0063,aoshin,ED,内服薬,禁忌,ED治療薬を飲んではいけない人｜併用禁忌と注意点,情報収集,ED 治療薬 禁忌,硝酸薬|心疾患|血圧,,high,WEB予約,0061|0064,併用禁忌の正確記載が必須
0064,aoshin,ED,内服薬,副作用,ED治療薬の副作用と安全な使い方,情報収集,ED 治療薬 副作用,頭痛|顔面紅潮|目のかすみ,,high,WEB予約,0061|0063,自由診療要件
0065,aoshin,ED,内服薬,ジェネリック,ED内服薬のジェネリックはどこまで信頼できる？,情報収集,ED ジェネリック,正規ルート|偽薬|個人輸入,,high,WEB予約,0061|0064,個人輸入のリスクに必ず言及
0066,aoshin,ED,Alma Duo,総論,Alma Duo（低強度衝撃波）とは？ED治療の選択肢,情報収集,Alma Duo ED,衝撃波|血流|当院導入,,high,WEB予約,0061|0067|0068,自由診療要件・効果個人差
0067,aoshin,ED,Alma Duo,適応,Alma Duoはどんな人に向く？適応の考え方,比較検討,Alma Duo 適応,内服無効|血管性|軽度〜中等度,,high,WEB予約,0066|0068|0070,診察判断強調
0068,aoshin,ED,Alma Duo,回数,Alma Duoの施術回数と効果が出るタイミング,情報収集,Alma Duo 回数,施術期間|個人差|スケジュール,,high,WEB予約,0066|0067,効果個人差を強調
0069,aoshin,ED,Alma Duo,副作用,Alma Duoの副作用・禁忌と知っておきたい注意点,情報収集,Alma Duo 副作用,軽度違和感|妊娠|心疾患,,high,WEB予約,0066|0068,自由診療要件
0070,aoshin,ED,治療選択,使い分け,ED治療の使い分け｜内服薬とAlma Duoはどう選ぶ,比較検討,ED 治療 選び方,併用|段階的|診察,,high,WEB予約,0061|0066,診察判断強調
0071,aoshin,アンチエイジング,総論,医療,アンチエイジングって医療で何ができる？基礎知識,情報収集,アンチエイジング 医療,予防医学|内科|自費,,medium,関連記事誘導,0072|0073|0074,自由診療要件
0072,aoshin,アンチエイジング,NMN,点滴,NMN点滴とは？期待できることと注意点,情報収集,NMN点滴,NAD|サーチュイン|エビデンス,,high,WEB予約,0071|0075,エビデンス未確立を明示
0073,aoshin,アンチエイジング,TRT,男性ホルモン,男性ホルモン補充療法（TRT）の適応と注意点,情報収集,男性ホルモン補充 TRT,テストステロン|LOH|前立腺,,high,WEB予約,0071|0078|0080,自由診療要件・禁忌
0074,aoshin,アンチエイジング,HRT,女性ホルモン,女性のホルモン補充療法（HRT）：更年期の選択肢,情報収集,HRT 更年期,エストロゲン|更年期|乳腺,,medium,WEB予約,0071|0060,専門医紹介の可能性
0075,aoshin,アンチエイジング,栄養療法,血液検査,アンチエイジング目的の栄養療法と血液検査,情報収集,栄養療法 血液検査,ビタミン|ミネラル|オーソモレキュラー,,medium,WEB予約,0071|0072,エビデンス整理
0076,aoshin,アンチエイジング,疲労,加齢,疲れが取れない｜年齢のせい？医療で確認できること,不安解消,疲れ 取れない 年齢,LOH|甲状腺|貧血,,low,WEB予約,0073|0078,鑑別を網羅
0077,aoshin,アンチエイジング,点滴注射,選び方,アンチエイジング目的の点滴・注射の選び方,比較検討,アンチエイジング 点滴,プラセンタ|NMN|高濃度ビタミンC,,high,関連記事誘導,0060|0072,自由診療要件
0078,aoshin,男性更年期,LOH,症状,男性更年期（LOH症候群）の症状と受診目安,不安解消,男性更年期 症状,テストステロン|疲労|気力低下,,medium,WEB予約,0073|0079|0080,
0079,aoshin,男性更年期,検査,テストステロン,テストステロン低下のサインと検査の流れ,情報収集,テストステロン 検査,遊離型|総量|採血,,low,WEB予約,0078|0080,
0080,aoshin,男性更年期,治療,選択肢,男性更年期の治療：内服・注射・生活習慣の選択肢,情報収集,男性更年期 治療,TRT|漢方|運動,,medium,WEB予約,0073|0078|0079,自由診療要件
